Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-06-02 20:25:00,67019.98,67030.0,66967.98,66994.01,15.63068,2026-06-02 20:25:59.999,1047308.64516,6359,9.45747,633667.4513508
2026-06-02 20:26:00,66994.01,67027.45,66992.11,67011.83,9.97863,2026-06-02 20:26:59.999,668649.886766,5265,7.93988,532029.7270709
2026-06-02 20:27:00,67010.44,67056.0,66963.94,66963.94,18.10934,2026-06-02 20:27:59.999,1213459.926707,6272,7.36026,493194.6876752
2026-06-02 20:28:00,66963.94,66976.0,66911.2,66931.25,21.59066,2026-06-02 20:28:59.999,1445188.565508,7295,14.36647,961613.0097249
2026-06-02 20:29:00,66931.25,66982.0,66911.71,66962.17,41.69293,2026-06-02 20:29:59.999,2791663.9710672,6063,32.22809,2157872.390853
2026-06-02 20:30:00,66962.18,67047.99,66949.9,67033.87,51.03205,2026-06-02 20:30:59.999,3419601.9853012,6609,39.17327,2624918.7850824
2026-06-02 20:31:00,67033.87,67200.0,67033.87,67163.78,53.80653,2026-06-02 20:31:59.999,3612037.7270218,9742,40.17103,2696469.1131355
2026-06-02 20:32:00,67163.79,67288.93,67142.18,67280.64,52.33419,2026-06-02 20:32:59.999,3518352.5404559,9452,35.39116,2379232.9151572
2026-06-02 20:33:00,67280.64,67362.81,67274.0,67306.0,54.87318,2026-06-02 20:33:59.999,3693539.1702667,8858,37.23734,2506263.2330266
2026-06-02 20:34:00,67306.0,67306.0,67180.02,67186.0,14.87307,2026-06-02 20:34:59.999,1000348.9360322,5230,5.87702,395382.129409
2026-06-02 20:35:00,67186.0,67254.43,67186.0,67220.0,20.92965,2026-06-02 20:35:59.999,1406937.507862,6126,13.63648,916715.2586137
2026-06-02 20:36:00,67220.0,67272.26,67206.0,67255.5,12.49824,2026-06-02 20:36:59.999,840395.4806772,4604,6.91948,465262.9735782
2026-06-02 20:37:00,67255.5,67310.0,67254.64,67287.86,11.59166,2026-06-02 20:37:59.999,779905.961842,3605,8.06762,542766.3881281
2026-06-02 20:38:00,67287.86,67287.86,67261.32,67282.98,12.21837,2026-06-02 20:38:59.999,822009.5207957,3483,7.0264,472699.9637297
